alpha,gap,objective_value,testing_accuracy,testing_instances,training_accuracy,training_instances,number_of_classes,number of features,baseline_accuracy
0.0,0.0,12.522417153996102,0.9649122807017544,38,0.9375,112,3,4,0.37202380952380953
0.5,0.0,13.210965186574944,0.8947368421052632,38,0.9345238095238094,112,3,4,0.3541666666666667
1.0,0.0,15.270346598202822,0.9298245614035089,38,0.9523809523809524,112,3,4,0.3541666666666667
1.5,0.0,15.016545428612181,0.9649122807017544,38,0.9613095238095238,112,3,4,0.3601190476190476
2.0,0.0,15.160308526162183,0.9473684210526315,38,0.9642857142857143,112,3,4,0.3601190476190476
2.5,0.0,14.955555555555554,0.9035087719298245,38,0.9642857142857143,112,3,4,0.36904761904761907
3.0,0.0,18.444444444444446,0.9298245614035089,38,0.9553571428571429,112,3,4,0.34821428571428575
3.5,0.21371369161567733,20.100213949507914,0.8947368421052632,38,0.9553571428571429,112,3,4,0.3541666666666667
4.0,0.0,21.294186059269503,0.9210526315789473,38,0.9553571428571429,112,3,4,0.3511904761904761
4.5,0.0,22.09526787575568,0.9385964912280702,38,0.9583333333333334,112,3,4,0.35714285714285715
5.0,0.0,21.508771929824565,0.9210526315789473,38,0.9642857142857143,112,3,4,0.3511904761904762
